"","x"
"1",2349.05477908512
"2",2348.24212133305
"3",2346.95462539648
"4",2344.24410763528
"5",2342.82495070533
"6",2342.01216566629
"7",2341.80887683419
"8",2341.74111389016
"9",2341.53782505807
"10",2341.33453622598
"11",2340.58914384165
"12",2340.52138089762
"13",2340.38585500956
"14",2340.11480323344
"15",2339.84375145732
"16",2339.77598851329
"17",2339.36941084911
"18",2339.03059612896
"19",2338.2174408006
"20",2337.00058912177
"21",2336.93301132239
"22",2335.44339527937
"23",2334.29142523086
"24",2334.02037345474
"25",2333.88484756668
"26",2333.81708462265
"27",2333.74932167862
"28",2333.68155873459
"29",2333.61379579056
"30",2333.27498107041
"31",2333.20721812638
"32",2332.360181326
"33",2332.15689249391
"34",2331.98748513384
"35",2331.78442773257
"36",2331.6830610335
"37",2331.54790543476
"38",2331.51411653507
"39",2331.44653873569
"40",2331.27759423726
"41",2331.07486083914
"42",2330.87212744101
"43",2330.60181624352
"44",2330.46666064477
"45",2330.33150504602
"46",2330.26376524507
"47",2330.19600230104
"48",2330.06047641298
"49",2329.72166169283
"50",2329.6538987488
"51",2329.45060991671
"52",2329.17955814059
"53",2328.77298047641
"54",2328.70521753238
"55",2328.09535103611
"56",2327.6210104279
"57",2326.74009215551
"58",2326.40127743536
"59",2326.19798860327
"60",2326.13022565924
"61",2325.99469977118
"62",2325.58838825244
"63",2325.11534365682
"64",2324.6422990612
"65",2324.43956566308
"66",2324.30441006433
"67",2323.69499485816
"68",2323.62723191413
"69",2323.49170602607
"70",2323.42394308204
"71",2323.35618013801
"72",2323.28841719398
"73",2323.22065424995
"74",2323.15289130592
"75",2323.08512836188
"76",2323.01736541786
"77",2322.6785506977
"78",2322.20421008949
"79",2322.13644714546
"80",2321.79763242531
"81",2321.66210653725
"82",2321.59434359322
"83",2321.52658064919
"84",2321.45881770516
"85",2320.91671415292
"86",2320.84895120889
"87",2320.71342532083
"88",2320.57789943277
"89",2320.37461060068
"90",2320.30684765665
"91",2320.23908471262
"92",2320.03579588053
"93",2319.9680329365
"94",2319.90026999247
"95",2319.83250704844
"96",2319.76474410441
"97",2319.69698116038
"98",2319.1558264745
"99",2319.02067087575
"100",2318.91930417669
"101",2318.75035967826
"102",2318.71657077857
"103",2318.61520407951
"104",2318.54762628013
"105",2318.48004848076
"106",2318.41247068138
"107",2318.34489288201
"108",2318.31110398232
"109",2318.27731508264
"110",2318.07458168451
"111",2317.9393797996
"112",2317.49892066341
"113",2317.36339477535
"114",2317.32951330333
"115",2317.2617503593
"116",2317.12622447124
"117",2317.05846152721
"118",2317.02458005519
"119",2316.99069858318
"120",2316.95681711117
"121",2316.88905416713
"122",2316.85517269512
"123",2316.75352827907
"124",2316.61800239101
"125",2316.55023944698
"126",2316.51635797497
"127",2315.56767675855
"128",2315.53379528653
"129",2315.43215087049
"130",2315.36438792646
"131",2315.29662498243
"132",2315.26274351041
"133",2315.2288620384
"134",2315.12721762235
"135",2315.05945467832
"136",2314.99169173429
"137",2314.95781026228
"138",2314.89004731825
"139",2314.51735112608
"140",2314.38182523802
"141",2314.34794376601
"142",2314.21241787795
"143",2314.17853640593
"144",2314.14465493392
"145",2314.1107734619
"146",2314.00912904586
"147",2313.94136610183
"148",2313.90748462981
"149",2313.8736031578
"150",2313.80584021377
"151",2313.73807726974
"152",2313.70419579772
"153",2313.53478843765
"154",2313.39926254959
"155",2313.33149960556
"156",2312.92599809469
"157",2312.85842029531
"158",2312.79084249594
"159",2312.52053129844
"160",2312.38537569969
"161",2312.18264230157
"162",2311.77717550532
"163",2311.64166118881
"164",2311.57389824478
"165",2311.50613530075
"166",2311.33672794067
"167",2311.30284646866
"168",2311.20120205261
"169",2311.13343910858
"170",2311.09955763657
"171",2311.06567616455
"172",2311.03179469254
"173",2310.99791322052
"174",2310.93015027649
"175",2310.89626880448
"176",2310.86238733246
"177",2310.82850586045
"178",2310.7268614444
"179",2310.69297997238
"180",2310.59133555634
"181",2310.55745408432
"182",2310.52357261231
"183",2310.48969114029
"184",2310.45580966828
"185",2310.38804672425
"186",2310.32028378022
"187",2310.25252083619
"188",2309.98146906007
"189",2309.84594317201
"190",2309.81206169999
"191",2309.77818022798
"192",2309.71041728395
"193",2309.6087728679
"194",2309.54100992387
"195",2309.50712845186
"196",2309.47324697984
"197",2309.43936550783
"198",2309.40548403581
"199",2309.3716025638
"200",2309.30383961977
"201",2309.06666931566
"202",2309.03278784365
"203",2308.89726195559
"204",2308.79561753954
"205",2308.76173606753
"206",2308.6939731235
"207",2308.62621017947
"208",2308.35515840335
"209",2308.2535139873
"210",2308.21963251529
"211",2308.18575104327
"212",2308.15186957126
"213",2308.08410662723
"214",2308.0163436832
"215",2307.94858073917
"216",2307.88081779514
"217",2307.84693632312
"218",2307.74529190708
"219",2307.71141043506
"220",2307.64364749103
"221",2307.60976601902
"222",2307.54200307499
"223",2307.47424013096
"224",2307.40647718693
"225",2307.3387142429
"226",2307.27095129887
"227",2307.16930688282
"228",2307.13542541081
"229",2307.06784761143
"230",2307.00026981206
"231",2306.93269201268
"232",2306.898903113
"233",2306.86511421331
"234",2306.79753641394
"235",2306.72995861456
"236",2306.66238081519
"237",2306.6285919155
"238",2306.59480301581
"239",2306.52722521644
"240",2306.45964741706
"241",2306.42585851738
"242",2306.39206961769
"243",2306.358280718
"244",2306.32449181831
"245",2306.25691401894
"246",2306.18933621957
"247",2306.12175842019
"248",2306.05418062082
"249",2306.02039172113
"250",2305.98660282144
"251",2305.91902502207
"252",2305.8514472227
"253",2305.71629162395
"254",2305.5472314101
"255",2305.51334993809
"256",2305.37782405003
"257",2305.310061106
"258",2305.17453521794
