"","x"
"1",1227.18863566184
"2",1226.69477681096
"3",1226.44784738552
"4",1226.13918560373
"5",1225.83052382193
"6",1225.76879146557
"7",1224.28721491294
"8",1223.85508841842
"9",1223.05283132894
"10",1221.94468493199
"11",1221.69831421811
"12",1221.26618772359
"13",1220.83406122908
"14",1220.64886416
"15",1220.27847002184
"16",1219.84634352733
"17",1219.53768174553
"18",1219.29075232009
"19",1219.22901996373
"20",1218.79689346921
"21",1218.30303461834
"22",1218.17956990562
"23",1218.11783754926
"24",1218.0561051929
"25",1217.13117402026
"26",1217.06961033154
"27",1217.00804664282
"28",1214.84988093448
"29",1213.98562794544
"30",1213.73869852
"31",1213.67696616364
"32",1212.50405139281
"33",1211.57889884389
"34",1211.51733515517
"35",1210.77857089054
"36",1210.16208012342
"37",1208.86570063987
"38",1207.69278586904
"39",1207.56932115632
"40",1206.82853288001
"41",1206.70506816729
"42",1206.64333581093
"43",1206.58160345457
"44",1206.42727256367
"45",1206.36554020731
"46",1206.24209657805
"47",1206.11896920061
"48",1205.99584182317
"49",1205.74958706829
"50",1205.53411415778
"51",1205.22629571418
"52",1205.07238649238
"53",1204.94925911494
"54",1204.88769542622
"55",1204.76435721423
"56",1204.70262485788
"57",1203.71490715612
"58",1203.49884390886
"59",1202.29506295985
"60",1201.67773939626
"61",1201.21474672356
"62",1200.35122111373
"63",1199.76636607089
"64",1199.73558422653
"65",1199.64323869346
"66",1199.48932947166
"67",1198.99624016689
"68",1198.74931074145
"69",1198.62584602873
"70",1198.50238131601
"71",1197.9159239306
"72",1197.26773418882
"73",1197.08253711974
"74",1196.52694591251
"75",1196.40348119979
"76",1196.18741795253
"77",1194.30643642761
"78",1194.24487273889
"79",1193.59845400734
"80",1193.07379222865
"81",1192.82686280321
"82",1192.76513044685
"83",1192.51820102141
"84",1191.99347599235
"85",1191.7774127451
"86",1190.6970965088
"87",1190.54276561791
"88",1190.04890676703
"89",1188.84650678432
"90",1188.29243358585
"91",1188.23086989713
"92",1188.10774251969
"93",1187.27480900312
"94",1187.08961193404
"95",1186.84268250861
"96",1186.81181633043
"97",1186.62661926135
"98",1186.59575308317
"99",1186.53402072681
"100",1186.34882365773
"101",1186.28709130137
"102",1186.16362658865
"103",1185.97842951957
"104",1185.91669716321
"105",1185.85496480685
"106",1185.54630302506
"107",1185.39197213416
"108",1185.36110595598
"109",1185.1759088869
"110",1185.05244417418
"111",1184.92897946146
"112",1184.8672471051
"113",1184.74378239238
"114",1184.68205003602
"115",1184.5585853233
"116",1184.43512061058
"117",1184.37338825422
"118",1184.31165589786
"119",1184.18819118515
"120",1184.06472647243
"121",1183.94126175971
"122",1183.81779704699
"123",1183.75606469063
"124",1183.69439558463
"125",1183.5712682072
"126",1183.50970451848
"127",1183.44814082976
"128",1183.38657714104
"129",1183.35579529668
"130",1183.32501345232
"131",1183.14032238616
"132",1183.1095405418
"133",1182.95563132
"134",1182.77094025385
"135",1182.64781287641
"136",1182.55546734333
"137",1182.40155812153
"138",1182.33999443281
"139",1182.27834641027
"140",1182.21661405391
"141",1182.03141698483
"142",1181.96968462847
"143",1181.7844875594
"144",1181.72275520304
"145",1181.66102284668
"146",1181.59929049032
"147",1181.4758257776
"148",1181.29062870852
"149",1181.1671639958
"150",1181.10543163944
"151",1180.858502214
"152",1180.48810807585
"153",1180.30291100677
"154",1180.24117865041
"155",1180.05598158133
"156",1179.93251686861
"157",1179.87078451225
"158",1179.68558744317
"159",1179.65472126499
"160",1179.62385508681
"161",1179.56212273045
"162",1179.37692566137
"163",1179.31519330501
"164",1179.25346094865
"165",1179.1917285923
"166",1179.06826387958
"167",1179.00653152322
"168",1178.94479916686
"169",1178.8830668105
"170",1178.82133445414
"171",1178.79046827596
"172",1178.75960209778
"173",1178.69786974142
"174",1178.63613738506
"175",1178.5744050287
"176",1178.45094031598
"177",1178.38920795962
"178",1178.14227853418
"179",1178.08055671955
"180",1177.98821118647
"181",1177.71117458724
"182",1177.64961089852
"183",1177.5880472098
"184",1177.55726536544
"185",1177.34179245492
"186",1177.2802287662
"187",1177.09553770004
"188",1177.03397401132
"189",1176.84928294517
"190",1176.78771925645
"191",1176.72615556773
"192",1176.66456025383
"193",1176.60282789747
"194",1176.54109554111
"195",1176.47936318475
"196",1176.35589847203
"197",1176.29416611567
"198",1176.10896904659
"199",1175.86203962115
"200",1175.80030726479
"201",1175.73857490843
"202",1175.67684255207
